ID,Media_Type,Download_URL
SO_44f074e4-b88e-45a4-a8ba-8d7f7df26548eaf,application/eaf,https://www.elararchive.org/uncategorized/IO_e14f9082-504a-41d4-a017-fedd6ba7d6da/
SO_44f074e4-b88e-45a4-a8ba-8d7f7df26548mpg,video/mpeg,https://www.elararchive.org/uncategorized/IO_33d025e9-d35b-472a-9173-062494b624b2/
SO_4d86531b-67cc-4f0f-92cb-524d95e0f65deaf,application/eaf,https://www.elararchive.org/uncategorized/IO_8c894c0b-308f-43bf-8ffd-b7837087e4da/
SO_4d86531b-67cc-4f0f-92cb-524d95e0f65dmpg,video/mpeg,https://www.elararchive.org/uncategorized/IO_64cc7525-57b5-41f8-b51c-43e4094f62d2/
SO_1e9d0a58-c296-4a22-988a-2057cb43039beaf,application/eaf,https://www.elararchive.org/uncategorized/IO_e68a6a99-44f7-41e6-8093-6ea34d2436a5/
SO_1e9d0a58-c296-4a22-988a-2057cb43039bwav,audio/wav,https://www.elararchive.org/uncategorized/IO_3c1e3e93-4b2e-4e1a-b16a-c8e0d6fdd708/
SO_897d8504-695f-4ca0-83b5-7a15e065de50eaf,application/eaf,https://www.elararchive.org/uncategorized/IO_944f3410-f720-44ac-bc6b-493f8cb5708a/
SO_897d8504-695f-4ca0-83b5-7a15e065de50mpg,video/mpeg,https://www.elararchive.org/uncategorized/IO_3972ce46-65df-45b2-ac36-fdfc6eb8eaba/
SO_89fe6f0b-1f14-48bf-8b38-b4e4d8bda2daeaf,application/eaf,https://www.elararchive.org/uncategorized/IO_21805c4e-d520-4758-8dbc-eb434c8d4f82/
SO_89fe6f0b-1f14-48bf-8b38-b4e4d8bda2dampg,video/mpeg,https://www.elararchive.org/uncategorized/IO_594e8cf3-de10-442d-a266-36f29da04034/
SO_5d6445f7-6af3-434f-8da4-fccc437e31a7eaf,application/eaf,https://www.elararchive.org/uncategorized/IO_4a91faae-83ba-4797-b13e-2d66f4eeef49/
SO_5d6445f7-6af3-434f-8da4-fccc437e31a7mpg,video/mpeg,https://www.elararchive.org/uncategorized/IO_69ecf133-a5c5-42f4-88fb-e84aa1ca7692/
SO_1af8163c-7eda-465e-8269-d1453005808beaf,application/eaf,https://www.elararchive.org/uncategorized/IO_c5d78ab2-6f44-4afc-930f-ef067bcf58ed/
SO_1af8163c-7eda-465e-8269-d1453005808bmpg,video/mpeg,https://www.elararchive.org/uncategorized/IO_e89ac77a-2378-4026-8d52-c595fcd64929/
SO_91324030-dcd0-4a89-a744-a73a21e283aeeaf,application/eaf,https://www.elararchive.org/uncategorized/IO_f9b24b4d-8dec-4cb0-b371-0f6ca27a11be/
SO_91324030-dcd0-4a89-a744-a73a21e283aempg,video/mpeg,https://www.elararchive.org/uncategorized/IO_67e53a0e-b90b-4464-85ba-67f3348fc71a/
SO_8b4293ef-8181-4951-ad06-9d00d42c3111eaf,application/eaf,https://www.elararchive.org/uncategorized/IO_ee55625e-5810-4da0-9da2-545f35632cf4/
SO_8b4293ef-8181-4951-ad06-9d00d42c3111mpg,video/mpeg,https://www.elararchive.org/uncategorized/IO_f55d6c11-fb30-4153-b1af-590237b07cc8/
SO_0634385b-80c4-4671-97d2-29f04e555233eaf,application/eaf,https://www.elararchive.org/uncategorized/IO_40e05af7-cafc-4acc-a019-1add0401b231/
SO_0634385b-80c4-4671-97d2-29f04e555233mpg,video/mpeg,https://www.elararchive.org/uncategorized/IO_c864120f-076a-4e40-947d-b64a97278969/
